artists_Dean Martin,artists_Ella Fitzgerald,artists_Feid,artists_J Balvin,artists_Nat King Cole,artists_Other,artists_Wolfgang Amadeus Mozart,explicit_False,explicit_True,track_genre_classical,track_genre_jazz,track_genre_latino,track_genre_metal,track_genre_pop,track_genre_techno,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35114224340357375,0.29474481616444004,0.3287925211516445,0.3616402805752521,2.021974927428747,-0.6525406601747631,-0.6071335641572347,-0.7006568241201919,2.031715833633967,-1.3176088734842344,4
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.17173398925154454,0.20627309028476068,0.7721332905854409,0.5507032227549339,0.00572394531456676,-0.9770603996273033,0.8307035381790925,0.43950370352110124,-0.20377863191910578,-0.7341688434685724,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7172848500740131,0.8808700001173154,0.41675695953136566,0.6840148667938973,4.289712153166397,0.7523747775650121,-0.6071335641572347,-0.23737259916832074,0.7300355119195197,-0.35590439360700893,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5059065408529172,1.218168455033593,0.9867665202319612,0.32186180614427107,1.600408391874953,-0.9516094128727264,0.28976287394729694,-0.8067007782082014,-1.5495220452692284,1.0308991756035752,27
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8101313030740108,-0.4130289908729944,-0.976599744403423,-0.31689755740186754,-0.141097503274858,1.1429203003695392,-0.6071335641572347,-0.8796530019425056,0.25302222632229987,0.3435593212845258,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3976228270027519,1.6549976015645094,0.8600977289651621,1.345044032627651,0.21359985767385128,-0.9768507107559989,-0.5059524347335672,1.048692375941581,-1.0405731244498218,-0.39878632237161044,85
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45900695661831004,-0.0038472586794778612,1.2225112150896151,0.5350375687319221,0.13219390598070496,-0.9744654998449108,-0.40449102517299207,4.109677433659301,-0.705046830343303,-0.7110836842963048,69
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4464798084741127,0.31133326476687995,0.3076810559405113,0.38483159192304406,1.0916211937927878,-0.9039051946509654,-0.6071335641572347,-0.09447649082277619,1.801294161777683,3.1570589433976273,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.551789512021405,0.11227188153760133,0.58916725875562,0.6422397893991991,-0.2457622983089035,-0.8915859734618293,-0.6041625947060134,0.9659630500573182,0.9523722128334778,2.025852927900138,74
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0754924047612483,-0.2692624363185154,0.9445435898096948,0.6159767811841498,-0.07422832866977355,-0.83051408969441,-0.6071335641572347,-0.8728842389156115,-0.7414291995837686,0.50279709548863,62
