popularity,duration_ms,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,explicit_False,explicit_True,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,artists_Dean Martin,artists_Ella Fitzgerald,artists_Feid,artists_J Balvin,artists_Nat King Cole,artists_Other,artists_Wolfgang Amadeus Mozart,genre
1.4513019995322103,-0.7334133183297478,1.80341642955962,0.3431621789764358,0.47013686284230055,0,2.4196108914284693,-0.9219040205894083,-0.6100841225480884,1.3701007750167606,0.49176285347540866,0.3480164688583036,0.2500286490131997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,latino
-1.0177169148338845,-1.0888208722536428,-1.1544334367981293,-0.4608326620934128,-0.2705382642100354,1,-0.3176303580938888,1.2617149284103026,-0.6100809821940959,0.1675571151237172,0.7525152618298605,2.5155641428199678,-1.8483742679467121,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,jazz
-0.8175261920474443,2.205277719279261,-0.7010807470012405,-2.002677091806228,-3.8600693892025597,1,0.07218466392748654,1.6288419283622175,1.9498651587975255,-0.6160111422460812,-0.9604274822832293,-0.7515633717502893,0.2500286490131997,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,classical
-1.0177169148338845,-0.7073672407524981,-0.4025314146959724,-1.8265706235614085,-1.7468592427606482,1,-0.26072305560901643,1.6288419283622175,1.885375746452565,-0.6297982670091862,-1.1409483803747726,-1.2310896288689912,0.2500286490131997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,classical
-0.05012842136609057,-0.5949578533138417,1.2007890736100972,1.1331134420363305,0.6889865505886286,0,2.0070329484131455,-0.8906982255934955,-0.6100841225480884,-0.6359258780150107,0.0304316694636869,0.6137632063225359,0.2500286490131997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,techno
1.15101591535255,1.1011910314183235,1.5546253193052295,0.5819030051456483,0.13271819385179204,0,0.513216258185247,-0.8120281541752281,-0.610078879278476,-1.1008583630819389,1.7112818094716131,-0.3839077579549657,0.2500286490131997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,pop
0.18342742188475622,3.2627108378437635,0.9464692720167206,0.41338006902620394,0.39393571808382977,1,-0.4826615353000185,-0.8537232920269098,1.3778721101726565,-0.4758420404878475,-0.9804853598489564,0.24713697511641539,0.2500286490131997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,techno
1.7182229632474637,0.29254409657844915,0.2553828546434147,1.2595056441259134,0.9242956856027863,1,-0.38876448619997916,-0.9334422977307542,-0.6100841225480884,-0.03159024256557659,1.6832007808795952,-0.9328011192299566,0.2500286490131997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,metal
-0.15022378275931061,0.4050610013652058,-1.3534663250016412,-1.0541738330139558,-0.12362245711570369,1,-0.6235071089500774,1.4531454355280868,-0.609680362749059,-0.3915873891577617,-1.2251914661508263,-1.656523491219577,2.348431565973111,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,classical
0.9841903130305166,0.6497346465250042,-0.44676094540786404,0.11846493081717666,0.6004408203792855,1,-0.6590741730031227,-0.9669819715120755,-0.6100841225480884,-0.4911610680024086,-1.124902078322191,-1.449086296550196,0.2500286490131997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,metal
-1.0177169148338845,-0.3731137250672981,0.14480902786368569,-0.4643435565959012,0.24000940567171872,1,-0.4627439794303132,-0.39297890708725663,-0.6100841225480884,-0.771499271518876,-0.36270273082456334,0.14306971593699486,0.2500286490131997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,jazz
